ItemLink,Price,Name,Image,Condition,Product Family,Memory,Brand,Storage Type,Screen Size,Hard Drive Capacity,Release Year,Type,Processor Speed,Graphics Processing Type,Product Line,Model,MPN,Operating System,Operating System Edition,Color,Processor Type,Seller Notes,Features,Hardware Connectivity,SSD Capacity,Country/Region of Manufacture,UPC,Bundle Listing,Storage capacity,Optical Drive,Touch Screen Function,Keyboard Type,Bluetooth,Screen Resolution,WWAN,WiFi,Charger Power Cord,Included,AC Adapter,Hard Drive,Guarantee,EAN,GPU/Video Card,Primary Drive,Processor Configuration,Number of Cells,Limited Warranty,Standard Memory,Weight (Approximate),Manufacturer,Product Series,Memory Technology,Processor Model,Country of Origin,Height,Width,Aspect Ratio,Depth,Battery Chemistry,Processor Core,Input Voltage,Environmentally Friendly,Country of Manufacture,Graphics Card,Ports,Optical Drive & More,Video Card,Touch Screen,Memory (RAM),Network,Webcam,Processor Manufacturer,Intel Processor Generation,Display Size,Resolution,Processor,Form Factor Type,Storage Capacity,Display Type,Drive Type,RAM Memory,Weight,HARD DRIVE,Includes,Release Date_Display,Processor Cores,Microsoft,Recovery Tool,Bundled Items2,Bundled Items3,Included with purchase,Serial Number,RAM,ItemIncluded2,ItemIncluded3,Notes3,R2 Condition,Notes4,ItemIncluded1,Notes5,Control State,Graphics card,Compatible Model,Tank Capacity,Water Type,Bulb Type,Application,Bundled Items,Optical,Battery,Touchscreen,2.6ghz Quad Core Processor,Max. Expandability,Best By,Battery AC Adapter,Shell Condition,Keyboard Bezel Touchpad,Condition Note,Condition Description,Hard Drive CD DVD,Regency Use,Acc Included,Model Number,# of Cores,Description,Wireless,Ethernet,Graphics Chipset,OS,Warranty,ISBN,Stock ID,Compatible Product,Style,Dimensions,Label,OperatingSystem,Binding,ProductGroup,ProductTypeSubcategory,HardwarePlatform,Restore Partition,cosmetic imperfections,Connectivity,Hard Drive Caddy,Wireless Card,"Office 365/2016,Mcafee Antivirus(1 year)",Series,USB,Number of Cores,Other Ports,Wi-Fi,Power Adapter,Items Included,Other Goodies,Processor Specifications,Seller part number,Form Factor,Model (Substitutes),Operating System License,Compatible Brand,Compatible Product Line,Ram,Bundled Items4,Bundled Items1,Bundled Items5,Marque,Type de processeur,Famille de produits,Mémoire,Numéro de pièce fabricant,Capacité de disque dur,Couleur,Type de stockage,Taille d'écran,Système d'exploitation,Vitesse du processeur,Année de sortie,Power Supply,Dedicated Graphics,Battery Life,BRAND,Internet Connectivity,Description1,Product Type,Contract,Carrier,SOLD AS IS,MONITOR,Memory Size,Cooling Component(s) Included,Chipset/GPU Manufacturer,Chipset/GPU Model,Connectors,Number of USB 2.0 Ports,Number of USB 3.0 Ports,Operating System Architecture,Product Model,Graphics Controller Manufacturer,Graphics Memory Accessibility,Front Camera/Webcam,Flash Memory,Widescreen,Colour,Manufacturer warranty,ScreenSize,Product Dimensions,Storage,Stylus,Platform,Format,Language,Size,Size Type,Chassis Type,EBAY_CATEGORY_ID,Hard Drive 1,Port,Keyboard,Feature,Adapter,Accssesories,Product Dimension,Condition Grade,HDMI Ports,DVD,Ac Adapter,Title,REF,Modèle,S.No,S/N,BATTERY,COA STICKER,Gr,Item Location,Ports/Interfaces,Length,EBAY_CATEGORY_SUGGESTION
http://www.ebay.com/itm/Dell-Laptop-refurbished-E6410-Windows-10-with-NEW-internal-parts/132348906140?epid=129850634&hash=item1ed09c0a9c%3Ag%3AnIwAAOSw%7EHZZzwtO,$400.00,Dell Laptop refurbished E6410 Windows 10 with NEW internal parts ,https://i.ebayimg.com/images/g/nIwAAOSw~HZZzwtO/s-l300.jpg,Manufacturer refurbished,,8GB,Dell,SSD (Solid State Drive),,300GB,,Notebook/Laptop,2.80GHz,,,Latitude E6410,BLMCM64B2,Windows 10,,Silver,Intel Core i7 3rd Gen.,,,,,,0884116062158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ebay.com/itm/Lenovo-IdeaPad-Yoga-11-11-6-Inch-2-in-1-Convertible-Touchscreen-Laptop-20187/132349048724?hash=item1ed09e3794%3Ag%3A0cEAAOSwd%7ERZTZ6A,$200.00,Lenovo IdeaPad Yoga 11 11.6-Inch 2 in 1 Convertible Touchscreen Laptop 20187,https://i.ebayimg.com/images/g/0cEAAOSwd~RZTZ6A/s-l300.jpg,Used,,2GB,Lenovo,SSD (Solid State Drive),,,2013,Convertible 2-in-1 Laptop/Tablet,1.40GHz,,Yoga,,,Windows RT,,Gray,NVIDIA Tegra 3,,"Built-in Webcam, Touchscreen","HDMI, USB 2.0",64GB,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ebay.com/itm/HP-Pavilion-dv2000-For-Parts/132349051397?hash=item1ed09e4205%3Ag%3APhMAAOSwRWVZ0mDM,$99.99,HP Pavilion dv2000 **For Parts**,https://i.ebayimg.com/images/g/PhMAAOSwRWVZ0mDM/s-l300.jpg,For parts or not working,,,HP,,,,,,,,Pavilion,,Does Not Apply,,,,,NO POWER,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ebay.com/itm/Apple-MacBook-Air-13-3-Laptop/132349091810?epid=219424051&hash=item1ed09edfe2%3Ag%3ArnsAAOSwIdpZ0cpF,$550.00,"Apple MacBook Air 13.3"" Laptop",https://i.ebayimg.com/images/g/rnsAAOSwIdpZ0cpF/s-l300.jpg,Used,MacBook Air,8GB,Apple,,13.3in.,250GB,,,1.60GHz,,,,Z0RJ0004B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ebay.com/itm/HP-EliteBook-840-G1-I5-4300U-1-9GHz-8G-180GB-14-W8P/132349194783?hash=item1ed0a0721f%3Ag%3AxGAAAOSwJThZo23q,$450.00,"HP EliteBook 840 G1 I5 4300U 1.9GHz 8G 180GB 14"" W8P",https://i.ebayimg.com/images/g/xGAAAOSwJThZo23q/s-l300.jpg,For parts or not working,,8GB,HP,,14in.,180GB,,Notebook/Laptop,1.90GHz,,EliteBook,EliteBook 840 G1,,Windows 8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ebay.com/itm/HP-Pavilion-dv6-6145dx-15-6-HD-AMD-A8-3500M-8gb-W7H/132349195694?epid=1224597892&hash=item1ed0a075ae%3Ag%3AIdUAAOSw3ONZngHZ,$140.00,"HP Pavilion dv6-6145dx  15.6"" HD AMD A8-3500M 8gb W7H",https://i.ebayimg.com/images/g/IdUAAOSw3ONZngHZ/s-l300.jpg,For parts or not working,,8GB,Hewlett Packard,HDD (Hard Disk Drive),"15.6""",,,,1.5GHz,AMD Graphics,Pavilion,dv6-6135dx,LW262UA,Windows 7,Home Premium,,AMD A8-3500M,,,,,,,,640GB,Optical Disk Drive,No Touchscreen,Regular (Not Backlit) Keyboard,No Bluetooth,1366 x 768 ( HD ),No WWAN,WiFi Module Built-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ebay.com/itm/Panasonic-ToughBook-CF-74-Laptop-w-Intel-Core-2-Duo-2-4GHz-2GB-Ram-160GB-HDD/132349239090?hash=item1ed0a11f32%3Ag%3AJUQAAOSwextZ0pkp,$79.99,Panasonic ToughBook CF-74 Laptop w/ Intel Core 2 Duo 2.4GHz 2GB Ram 160GB HDD,https://i.ebayimg.com/images/g/JUQAAOSwextZ0pkp/s-l300.jpg,Used,,2GB,Panasonic,,"13.3""",160GB,,Notebook,2.40GHz,Integrated/On-Board Graphics,Toughbook,CF-74,Does Not Apply,Not Included,Not Applicable,,Intel Core 2 Duo,"This laptop has scuffs/scratches from use but overall is in good shape. This has been tested and it is in good working order. Includes battery but the length/quality of charge is not guaranteed. Does NOT include AC power adapter. Note that this does NOT include an operating system. The hard drive has been wiped blank. Buyer will need to install Windows, Linux, or other operating system in order to use. We do not currently provide this service. Item is in good physical condition as pictured. Some minor wear and tear is expected on a used item. Please refer to the pictures for more details.",,,,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ebay.com/itm/Toshiba-Satellite-Click-2-Pro-P35W-B3220-2-IN-1-Laptop-Tablet/132349279552?hash=item1ed0a1bd40%3Ag%3AJG4AAOSwzkRZkff%7E,$250.00,Toshiba Satellite Click 2 Pro P35W-B3220 2-IN-1 Laptop/Tablet,https://i.ebayimg.com/images/g/JG4AAOSwzkRZkff~/s-l300.jpg,Used,,4GB,Toshiba,SSD (Solid State Drive),13.3in.,128GB,,,1.70GHz,,Satellite,P35W-B3220,,Windows 8.1,,,Intel Core i5 4th Gen.,,,,128GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ebay.com/itm/NEW-Lenovo-Ideapad-110-15-6-HD-AMD-A6-7310-2-0GHz-4GB-500GB-USB3-1-DVDRW-NEW/132349297803?hash=item1ed0a2048b%3Ag%3AKyQAAOSwak5Z0qmE,$236.99,"NEW Lenovo Ideapad 110 15.6""HD AMD A6-7310 2.0GHz 4GB 500GB USB3.1 DVDRW NEW",https://i.ebayimg.com/images/g/KyQAAOSwak5Z0qmE/s-l300.jpg,New,,4GB,Lenovo,,15.6in.,500GB,,Notebook/Laptop,1.6-2.48GHz,Integrated/On-Board Graphics,IdeaPad,Ideapad 110-15IBY,,"Windows 10 Home, 64 bit",Win 10 Home 64,,Intel Celeron Dual Core,,,"HDMI, USB 2.0, USB 3.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ebay.com/itm/iBook-Laptop-Model-M6497-AS-IS-for-parts-or-repair/132349307382?hash=item1ed0a229f6%3Ag%3A2eYAAOSwIylZ0qv1,$9.99,"iBook Laptop Model M6497 - AS-IS, for parts or repair",https://i.ebayimg.com/images/g/2eYAAOSwIylZ0qv1/s-l300.jpg,For parts or not working,iBook,,Apple,,,,2001,,,,,,,,,White,,Please see auction description for further information.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ebay.com/itm/MacBook-3-1-Used-white/132349325220?hash=item1ed0a26fa4%3Ag%3ArfwAAOSwurZZHXDW,$75.00,MacBook 3.1 Used white,https://i.ebayimg.com/images/g/rfwAAOSwurZZHXDW/s-l300.jpg,Used,MacBook,,Apple,,,,,,,,,,,,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
