,ItemLink,Price,Name,Image,Condition,Model,UPC,Brand,EAN,MPN,Type,Product Line,Operating System,Screen Size,Operating System Edition,Processor Speed,Processor Type,Graphics Processing Type,Memory,Storage Type,Color,Features,Hard Drive Capacity,Seller Notes,Memory (RAM),Primary Drive,Processor Configuration,Storage,Hardware Connectivity,Optical Drive,SSD Capacity,Accessories,Release Year,Resolution,RAM,Display Technology,Monitor Screen Size,Weight,Dimensions,Recovery Tool,AirPort Extreme wireless LAN (802.11a/b/g/n),Bluetooth,Product Family,Webcam / Mic,GPU/Video Card,Manufacturer warranty,Bundle Listing,Country/Region of Manufacture,OS notice,Solid State,Backlit Keyboard,Graphics,WiFi Wireless,Battery AC Adapter,Condition Note,Condition Description,Shell Condition,Hard Drive CD DVD,weight,OS,Performance,Item Condition,Storage capacity,Touch Screen Function,Serial Number,Country of Manufacture,Charger Included,ProcessorType&Speed,ItemIncluded1,Notes3,R2 Condition,Memory RAM,Manufacturer,Processor,Warranty - Parts,Warranty - Labor,Manufacturer Warranty,HDD Caddy,Battery,CPU Model,Storage Expansion,SSD,Screen Resolution,Marque,Numéro de pièce fabricant,REF,Modèle,Country Of Manufacture,Release Date_Display,Title,location,ID,Outlets,Processor Model,Unit of Measure,Product Type,Maximum Memory,Processor Supported,Brand Name,Graphics Memory Accessibility,DisplayPort,Connectivity,ScreenSize,Keyboard Type,WWAN,WiFi,CF-30 / CF 31 CADDY GENUINE,Contract,Compatible Brand,DVDRW,Items Included,COLOR,Touchscreen,SKU,sku,DELL LATITUDE,Hard Drive,Processor Manufacturer,Product Model,Solid State Drive,Manufacturer Part Number,ISBN,Number of Cells,Weight (Approximate),Product Series,Standard Memory,Solid State Drive Capacity,Graphics Controller Model,HDMI,Hard Drive Type,Bundled Items,Graphics Card,OperatingSystem,Binding,ProductGroup,HardwarePlatform,Charger,Size,Style,Capacity
10,http://www.ebay.com/itm/HP-Pavilion-X2-10-N144TU-Hybrid-Laptop-Intel-Cherry-Trail-Quad-Core-CPU/152080773149?hash=item2368b8701d%3Ag%3AsscAAOSwRH5XLDVu,$439.40,HP Pavilion X2 10-N144TU Hybrid Laptop / Intel Cherry Trail Quad-Core CPU,https://i.ebayimg.com/images/g/sscAAOSwRH5XLDVu/s-l500.jpg,New,,Does not apply,HP,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,http://www.ebay.com/itm/Lenovo-ideapad-100-15-5th-Generation-Intel-Core-80QQ000PKR/152155646678?hash=item236d2eead6%3Ag%3Ai5QAAOSwbYZXe1vp,$526.29,Lenovo ideapad 100-15 / 5th Generation Intel Core / 80QQ000PKR,https://i.ebayimg.com/images/g/i5QAAOSwbYZXe1vp/s-l500.jpg,New,,Does not apply,Lenovo,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,http://www.ebay.com/itm/Hansung-B35-ForceRecon-Laptop-Intel-Pentium-N3700-IPS-Wide-screen-WHITE/152156926057?hash=item236d427069%3Ag%3An1oAAOSw-KFXfKAz,$427.23,Hansung B35 ForceRecon Laptop / Intel Pentium N3700 / IPS Wide screen / WHITE,https://i.ebayimg.com/images/g/n1oAAOSw-KFXfKAz/s-l500.jpg,New,,Does not apply,Hansung,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,http://www.ebay.com/itm/LG-Ultra-PC-15UD560-GX3FK-Core-i3-6100U-Ram-8G-DDR3L-USB-3-0-Dual-core/152317399078?hash=item2376d31026%3Ag%3A4ecAAOSwo4pYKWwB,$801.48,LG Ultra PC 15UD560-GX3FK / Core i3-6100U / Ram 8G / DDR3L / USB 3.0 / Dual-core,https://i.ebayimg.com/images/g/4ecAAOSwo4pYKWwB/s-l500.jpg,New,,Does not apply,none,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,http://www.ebay.com/itm/LG-All-Day-Gram-15-Laptop-15ZD970-GX50K-OS-Excluded-I-5-7200-U-DDR4-8G/152406809806?hash=item237c275cce%3Ag%3AhgMAAOSw-0xYhVhN,"$1,557.74","LG All Day Gram 15"" Laptop / 15ZD970-GX50K / OS Excluded / I-5 7200(U) / DDR4 8G",https://i.ebayimg.com/images/g/hgMAAOSw-0xYhVhN/s-l500.jpg,New,,Does not apply,none,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,http://www.ebay.com/itm/Samsung-Gaming-Odyssey-Laptop-NT800G5M-X78S-i7-7700HQ-SSD256GB-HDD1TB-GTX1/152406813700?hash=item237c276c04%3Ag%3AQ-YAAOSw4DJYhVlw,"$1,829.00",Samsung Gaming Odyssey Laptop / NT800G5M-X78S / i7-7700HQ+SSD256GB+HDD1TB / GTX1,https://i.ebayimg.com/images/g/Q-YAAOSw4DJYhVlw/s-l500.jpg,New,,Does not apply,none,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,http://www.ebay.com/itm/Samsung-Odyssey-NT800G5W-XD5S-Laptop-not-includ-OS-1920x1080-15-6inch-scre/152433114681?hash=item237db8be39%3Ag%3A%7EKgAAOSwtfhYnvhb,"$1,427.81",Samsung Odyssey NT800G5W-XD5S Laptop / not includ OS / 1920x1080 / 15.6inch scre,https://i.ebayimg.com/images/g/~KgAAOSwtfhYnvhb/s-l500.jpg,New,,Does not apply,none,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,http://www.ebay.com/itm/ACER-E5-575-ELITE-15-6-inch-Laptop-Black-color-Not-include-OS-i5-7200U-4GB/152452385161?hash=item237edec989%3Ag%3As-EAAOSwhlZYs%7EvL,$617.84,ACER E5-575 ELITE 15.6 inch Laptop Black color / Not include OS / i5-7200U / 4GB,https://i.ebayimg.com/images/g/s-EAAOSwhlZYs~vL/s-l500.jpg,New,,Does not apply,none,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,http://www.ebay.com/itm/ACER-E5-575-INDIGO-15-6-inch-Laptop-Blue-color-Not-include-OS-i3-7100U-4GB/152452385365?hash=item237edeca55%3Ag%3A0X4AAOSw4A5Ys%7Evb,$565.10,ACER E5-575 INDIGO 15.6 inch Laptop Blue color / Not include OS / i3-7100U / 4GB,https://i.ebayimg.com/images/g/0X4AAOSw4A5Ys~vb/s-l500.jpg,New,,Does not apply,none,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,http://www.ebay.com/itm/ACER-E5-575G-AWP-15-6-inch-Laptop-Blue-color-Not-include-OS-i5-7200U-4GB/152452385533?hash=item237edecafd%3Ag%3A4NcAAOSwr%7ElYs%7Evf,$701.54,ACER E5-575G AWP 15.6 inch Laptop Blue color / Not include OS / i5-7200U / 4GB /,https://i.ebayimg.com/images/g/4NcAAOSwr~lYs~vf/s-l500.jpg,New,,Does not apply,none,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,http://www.ebay.com/itm/ACER-E5-575G-CANNON-15-6-inch-Laptop-Blue-color-Not-include-OS-i5-7200U-4G/152452385682?hash=item237edecb92%3Ag%3AXfoAAOSwXYtYs%7Evp,$775.47,ACER E5-575G CANNON 15.6 inch Laptop Blue color / Not include OS / i5-7200U / 4G,https://i.ebayimg.com/images/g/XfoAAOSwXYtYs~vp/s-l500.jpg,New,,Does not apply,none,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,http://www.ebay.com/itm/ACER-VX5-591G-OCTAGON-TI-15-6-inch-Laptop-Black-color-Not-include-OS-i7-7700/152452385841?hash=item237edecc31%3Ag%3AReoAAOSwOgdYs%7Evx,"$1,302.74",ACER VX5-591G OCTAGON TI 15.6 inch Laptop Black color / Not include OS / i7-7700,https://i.ebayimg.com/images/g/ReoAAOSwOgdYs~vx/s-l500.jpg,New,,Does not apply,none,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,http://www.ebay.com/itm/ACER-VX5-591G-REX-15-6-inch-Laptop-Black-color-Not-include-OS-i5-7200U-4GB/152452385892?hash=item237edecc64%3Ag%3A4z4AAOSwr%7ElYs%7Ev1,$986.38,ACER VX5-591G REX 15.6 inch Laptop Black color / Not include OS / i5-7200U / 4GB,https://i.ebayimg.com/images/g/4z4AAOSwr~lYs~v1/s-l500.jpg,New,,Does not apply,none,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,http://www.ebay.com/itm/ACER-VX5-591G-REX-TI-15-6-inch-Laptop-Black-color-Not-include-OS-i5-7200U/152452385948?hash=item237edecc9c%3Ag%3AXlcAAOSw%7EAVYs%7Ev1,"$1,091.83",ACER VX5-591G REX TI 15.6 inch Laptop Black color / Not include OS / i5-7200U / ,https://i.ebayimg.com/images/g/XlcAAOSw~AVYs~v1/s-l500.jpg,New,,Does not apply,none,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,http://www.ebay.com/itm/LG-Electronics-GRAM-14inch-14ZD970-GX50K-i5-7200U-2-5GHz-Not-include-OS/152452388495?hash=item237eded68f%3Ag%3A4GIAAOSwax5Ys%7EyW,"$1,417.59",LG Electronics GRAM 14inch 14ZD970-GX50K / i5-7200U (2.5GHz) / Not include OS / ,https://i.ebayimg.com/images/g/4GIAAOSwax5Ys~yW/s-l500.jpg,New,,Does not apply,none,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,http://www.ebay.com/itm/SAMSUNG-DM700T6A-A99-Laptop-with-Win-10-i7-6700-16GB-SSD-256GB-1TB-HDD-G/152452391128?hash=item237edee0d8%3Ag%3A7xsAAOSwWxNYs%7E0K,"$2,352.10",SAMSUNG DM700T6A-A99 Laptop with Win 10 / i7-6700 / 16GB / SSD 256GB+1TB HDD / G,https://i.ebayimg.com/images/g/7xsAAOSwWxNYs~0K/s-l500.jpg,New,,Does not apply,none,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,http://www.ebay.com/itm/SAMSUNG-NT900X5W-K58WS-15-inch-Laptop-White-color-Not-include-OS-i5-7200U/152452391344?hash=item237edee1b0%3Ag%3A4BIAAOSwTuJYs%7E0a,"$1,250.52",SAMSUNG NT900X5W-K58WS 15 inch Laptop White color / Not include OS / i5-7200U / ,https://i.ebayimg.com/images/g/4BIAAOSwTuJYs~0a/s-l500.jpg,New,,Does not apply,none,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,http://www.ebay.com/itm/SAMSUNG-NT900X5Y-KD5S-15-inch-Laptop-Silver-color-Not-include-OS-i5-7200U/152452391374?hash=item237edee1ce%3Ag%3AArAAAOSwfVpYs%7E0b,"$1,378.21",SAMSUNG NT900X5Y-KD5S 15 inch Laptop Silver color / Not include OS / i5-7200U / ,https://i.ebayimg.com/images/g/ArAAAOSwfVpYs~0b/s-l500.jpg,New,,Does not apply,none,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,http://www.ebay.com/itm/Lenovo-510s-i5-kaby-13-3inch-laptop-Red-color-None-OS-i5-7200u-SSD-256G/152462079223?hash=item237f72b4f7%3Ag%3AurIAAOSwfVpYvRwI,$747.26,Lenovo 510s-i5 kaby 13.3inch laptop Red color / None OS / i5-7200u / SSD 256G / ,https://i.ebayimg.com/images/g/urIAAOSwfVpYvRwI/s-l500.jpg,New,,Does not apply,none,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,http://www.ebay.com/itm/Lenovo-510s-i5-WINE-13-3inch-laptop-White-color-None-OS-i5-6300u-4G-RAM/152462079290?hash=item237f72b53a%3Ag%3AUC0AAOSw4CFYvRwO,$733.59,Lenovo 510s-i5 WINE 13.3inch laptop White color / None OS / i5-6300u / 4G RAM / ,https://i.ebayimg.com/images/g/UC0AAOSw4CFYvRwO/s-l500.jpg,New,,Does not apply,none,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,http://www.ebay.com/itm/Lenovo-700-i5-the-best-15-6inch-laptop-Black-color-None-OS-i5-6300HQ-GTX95/152462079392?hash=item237f72b5a0%3Ag%3ARisAAOSwXYtYvRwa,$799.42,Lenovo 700-i5 the best 15.6inch laptop Black color / None OS / i5-6300HQ / GTX95,https://i.ebayimg.com/images/g/RisAAOSwXYtYvRwa/s-l500.jpg,New,,Does not apply,none,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,http://www.ebay.com/itm/Lenovo-Y700-Sky-Kaiser-15-6inch-laptop-Black-color-None-OS-i7-6700HQ-GTX96/152462079620?hash=item237f72b684%3Ag%3AZOYAAOSw2gxYvRws,"$1,037.36",Lenovo Y700 Sky Kaiser 15.6inch laptop Black color / None OS / i7-6700HQ / GTX96,https://i.ebayimg.com/images/g/ZOYAAOSw2gxYvRws/s-l500.jpg,New,,Does not apply,none,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,http://www.ebay.com/itm/LG-Ultra-PC-14U360-EU2TK-Dual-Hard-Laptop-4GB-RAM-32GB-Win10-N3160-14/152496126779?hash=item23817a3b3b%3Ag%3At3cAAOSwc-tY4jY1,$478.69,"LG Ultra PC 14U360-EU2TK/Dual Hard Laptop/4GB RAM/32GB/Win10/N3160/14""",https://i.ebayimg.com/images/g/t3cAAOSwc-tY4jY1/s-l500.jpg,New,,Does not apply,none,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
